"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",4,288763770,72190942,82.52594301156184
"hipMemcpy",4,27107916,6776979,7.747184942827853
"hipHostMalloc",1,17346241,17346241,4.957390936649765
"hipEventSynchronize",16,5651127,353195,1.6150384265765003
"hipMemcpyAsync",16,5187253,324203,1.4824676428921577
"hipHostFree",1,3864224,3864224,1.1043585197959893
"hipEventRecord",32,703639,21988,0.20109334358223802
"hipStreamDestroy",4,696859,174214,0.19915568397342218
"hipLaunchKernel",13,468273,36021,0.1338279761060506
"hipMalloc",1,52883,52883,0.015113459158260832
"hipFree",1,42893,42893,0.012258412035536598
"hipEventElapsedTime",16,8356,522,0.00238806544118956
"hipEventDestroy",10,5241,524,0.0014978280250448164
"hipEventCreate",10,3056,305,0.0008733757764810072
"__hipPushCallConfiguration",13,2924,224,0.0008356514301146809
"__hipPopCallConfiguration",13,2004,154,0.0005727241675614981
